ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
3931007,0,501.09717255948897,198.76744079589844,-59.8326530456543,-499.8239440917969
3931008,0,13.812594499650915,195.56744384765625,-72.83265686035156,0.09999999403953552
3931009,0,13.81130886424041,195.56744384765625,-72.83265686035156,0.09540698677301407
3931010,0,13.810196788962182,195.56744384765625,-72.83265686035156,0.08469131588935852
3931011,0,13.809258186808002,195.56744384765625,-72.83265686035156,0.06785445660352707
3931012,0,13.808492962829495,195.56744384765625,-72.83265686035156,0.044897954910993576
3931013,0,13.807926602843253,195.56744384765625,-72.83257293701172,0.021351279690861702
3931014,0,13.807459131053298,195.56739807128906,-72.83253479003906,0.0024756239727139473
3931015,0,13.807302120581985,195.56735229492188,-72.8324966430664,-0.01238246913999319
3931016,0,13.807333445722405,195.5673370361328,-72.83248138427734,-0.023821182548999786
3931017,0,13.807402607046313,195.5673370361328,-72.83246612548828,-0.03239978849887848
3931018,0,13.807453827856348,195.5673370361328,-72.83245086669922,-0.03862537443637848
3931019,0,13.807437429439071,195.56732177734375,-72.83245086669922,-0.04294982925057411
3931020,0,13.80729934168697,195.56732177734375,-72.83244323730469,-0.04576675221323967
3931021,0,13.807205081001403,195.56732177734375,-72.83244323730469,-0.04741344228386879
3931022,0,13.807142321213325,195.56732177734375,-72.83244323730469,-0.04817352071404457
3931023,0,13.807112723939266,195.56732177734375,-72.83245086669922,-0.04828201234340668
3931024,0,13.807109059702942,195.5673370361328,-72.83245086669922,-0.047929953783750534
3931025,0,13.807123518299626,195.5673370361328,-72.83245086669922,-0.04726989567279816
3931026,0,13.807136764214222,195.5673370361328,-72.83245849609375,-0.04642120376229286
3931027,0,13.807159459414281,195.56735229492188,-72.83245849609375,-0.04547519609332085
3931028,0,13.807179738943923,195.56735229492188,-72.83246612548828,-0.04449958726763725
3931029,0,13.807208782768077,195.56735229492188,-72.83246612548828,-0.04354332014918327
3931030,0,13.807216558954924,195.56735229492188,-72.83246612548828,-0.04263957962393761
3931031,0,13.807235703220751,195.56735229492188,-72.83246612548828,-0.04180946201086044
3931032,0,13.807258280545035,195.5673828125,-72.83247375488281,-0.041064947843551636
3931033,0,13.807270342084768,195.5673828125,-72.83247375488281,-0.04041072726249695
3931034,0,13.80727147376378,195.5673828125,-72.83247375488281,-0.03984649479389191
3931035,0,13.807287095590203,195.5673828125,-72.83247375488281,-0.03936820849776268
3931036,0,13.807287833495131,195.5673828125,-72.83248138427734,-0.038969725370407104
3931037,0,13.807292394451139,195.5673828125,-72.83248138427734,-0.03864334151148796
3931038,0,13.807300435252934,195.5673828125,-72.83248138427734,-0.03838081285357475
3931039,0,13.807315834444308,195.5673828125,-72.83248138427734,-0.03817378729581833
3931040,0,13.807312789367058,195.5673828125,-72.83248138427734,-0.03801395371556282
3931041,0,13.807320650519777,195.5673828125,-72.83248138427734,-0.037893712520599365
3931042,0,13.807321038773242,195.5673828125,-72.83248138427734,-0.03780612722039223
3931043,0,13.80732880081496,195.5673828125,-72.83248138427734,-0.03774493932723999
3931044,0,13.807329099436538,195.5673828125,-72.83248138427734,-0.03770481050014496
3931045,0,13.807325818262836,195.5673828125,-72.83248138427734,-0.0376809686422348
3931046,0,13.807326045069653,195.5673828125,-72.83248138427734,-0.03766956180334091
3931047,0,13.80734108387849,195.5673828125,-72.83248138427734,-0.037667348980903625
3931048,0,13.807341253924355,195.5673828125,-72.83248138427734,-0.03767162188887596
3931049,0,13.807341400484516,195.5673828125,-72.83248138427734,-0.03768032044172287
3931050,0,13.807341526329589,195.5673828125,-72.83248138427734,-0.03769168630242348
3931051,0,13.807341633931072,195.5673828125,-72.83248138427734,-0.037704505026340485
3931052,0,13.80734172552718,195.5673828125,-72.83248138427734,-0.037717703729867935
3931053,0,13.807341803379414,195.5673828125,-72.83248138427734,-0.037730827927589417
3931054,0,13.807341817841365,195.5673828125,-72.83248138427734,-0.037743184715509415
3931055,0,13.807341872857831,195.5673828125,-72.83248138427734,-0.037754591554403305
3931056,0,13.807341904102637,195.5673828125,-72.83248138427734,-0.037764813750982285
