ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
6813806,0,501.09717255948897,198.76744079589844,-59.8326530456543,-499.8239440917969
6813807,0,13.812594499650915,195.56744384765625,-72.83265686035156,0.09999999403953552
6813808,0,13.81130886424041,195.56744384765625,-72.83265686035156,0.09540698677301407
6813809,0,13.810196788962182,195.56744384765625,-72.83265686035156,0.08469131588935852
6813810,0,13.809258186808002,195.56744384765625,-72.83265686035156,0.06785445660352707
6813811,0,13.808492962829495,195.56744384765625,-72.83265686035156,0.044897954910993576
6813812,0,13.807926602843253,195.56744384765625,-72.83257293701172,0.021351279690861702
6813813,0,13.807459131053298,195.56739807128906,-72.83253479003906,0.0024756239727139473
6813814,0,13.807302120581985,195.56735229492188,-72.8324966430664,-0.01238246913999319
6813815,0,13.807333445722405,195.5673370361328,-72.83248138427734,-0.023821182548999786
6813816,0,13.807402607046313,195.5673370361328,-72.83246612548828,-0.03239978849887848
6813817,0,13.807453827856348,195.5673370361328,-72.83245086669922,-0.03862537443637848
6813818,0,13.807437429439071,195.56732177734375,-72.83245086669922,-0.04294982925057411
6813819,0,13.807299341609536,195.56732177734375,-72.83244323730469,-0.04576675221323967
6813820,0,13.807205081001403,195.56732177734375,-72.83244323730469,-0.04741344228386879
6813821,0,13.80715716320067,195.56732177734375,-72.83244323730469,-0.04817352071404457
6813822,0,13.807120144940303,195.56732177734375,-72.83245086669922,-0.04828201234340668
6813823,0,13.807123901656801,195.5673370361328,-72.83245086669922,-0.047929953783750534
6813824,0,13.807130939265583,195.5673370361328,-72.83245086669922,-0.04726989567279816
6813825,0,13.807144185194526,195.5673370361328,-72.83245849609375,-0.04642120376229286
6813826,0,13.807174301442226,195.56735229492188,-72.83245849609375,-0.04547519609332085
6813827,0,13.807187159955314,195.56735229492188,-72.83246612548828,-0.04449958726763725
6813828,0,13.80721620378072,195.56735229492188,-72.83246612548828,-0.04354332014918327
6813829,0,13.807231400988941,195.56735229492188,-72.83246612548828,-0.04263957962393761
6813830,0,13.807243124230006,195.56735229492188,-72.83246612548828,-0.04180946201086044
6813831,0,13.807265701560585,195.5673828125,-72.83247375488281,-0.041064947843551636
6813832,0,13.807277763102267,195.5673828125,-72.83247375488281,-0.04041072726249695
6813833,0,13.807286315806218,195.5673828125,-72.83247375488281,-0.03984649479389191
6813834,0,13.807294516583557,195.5673828125,-72.83247375488281,-0.03936820849776268
6813835,0,13.807295254485286,195.5673828125,-72.83248138427734,-0.038969725370407104
6813836,0,13.80729981544068,195.5673828125,-72.83248138427734,-0.03864334151148796
6813837,0,13.807315277297967,195.5673828125,-72.83248138427734,-0.03838081285357475
6813838,0,13.807323255466866,195.5673828125,-72.83248138427734,-0.03817378729581833
6813839,0,13.807320210429433,195.5673828125,-72.83248138427734,-0.03801395371556282
6813840,0,13.80732807162096,195.5673828125,-72.83248138427734,-0.037893712520599365
6813841,0,13.807328459797219,195.5673828125,-72.83248138427734,-0.03780612722039223
6813842,0,13.807343642902689,195.5673828125,-72.83248138427734,-0.03774493932723999
6813843,0,13.80734394152671,195.5673828125,-72.83248138427734,-0.03770481050014496
6813844,0,13.807340660357214,195.5673828125,-72.83248138427734,-0.0376809686422348
6813845,0,13.8073408871623,195.5673828125,-72.83248138427734,-0.03766956180334091
6813846,0,13.807348504904338,195.5673828125,-72.83248138427734,-0.037667348980903625
6813847,0,13.807348674950113,195.5673828125,-72.83248138427734,-0.03767162188887596
6813848,0,13.807348821510196,195.5673828125,-72.83248138427734,-0.03768032044172287
6813849,0,13.8073489473552,195.5673828125,-72.83248138427734,-0.03769168630242348
6813850,0,13.807349054956626,195.5673828125,-72.83248138427734,-0.037704505026340485
6813851,0,13.807349146552685,195.5673828125,-72.83248138427734,-0.037717703729867935
6813852,0,13.807349224361294,195.5673828125,-72.83248138427734,-0.037730827927589417
6813853,0,13.807349238823205,195.5673828125,-72.83248138427734,-0.037743184715509415
6813854,0,13.807349293837326,195.5673828125,-72.83248138427734,-0.037754591554403305
6813855,0,13.80734932508204,195.5673828125,-72.83248138427734,-0.037764813750982285
6813856,0,13.80734935696384,195.5673828125,-72.83248138427734,-0.03777385503053665
6813857,0,13.807349387773414,195.5673828125,-72.83248138427734,-0.03778163716197014
6813858,0,13.807349416468563,195.5673828125,-72.83248138427734,-0.037788275629282
6813859,0,13.807349442634054,195.5673828125,-72.83248138427734,-0.037793807685375214
6813860,0,13.807349465895307,195.5673828125,-72.83248138427734,-0.037798307836055756
6813861,0,13.807349486334518,195.5673828125,-72.83248138427734,-0.037801969796419144
6813862,0,13.807349504075352,195.5673828125,-72.83248138427734,-0.03780486807227135
6813863,0,13.807349519207731,195.5673828125,-72.83248138427734,-0.03780708089470863
6813864,0,13.807349532084261,195.5673828125,-72.83248138427734,-0.037808798253536224
6813865,0,13.80734954297075,195.5673828125,-72.83248138427734,-0.037810057401657104
6813866,0,13.807349551003838,195.5673828125,-72.83248138427734,-0.037810057401657104
6813867,0,13.807349557904958,195.5673828125,-72.83248138427734,-0.037810057401657104
6813868,0,13.807356984698414,195.5673828125,-72.83248138427734,-0.037810057401657104
6813869,0,13.80735698955847,195.5673828125,-72.83248138427734,-0.037810057401657104
6813870,0,13.80735698955847,195.5673828125,-72.83248138427734,-0.037810057401657104
6813871,0,13.8073569930573,195.5673828125,-72.83248138427734,-0.037810057401657104
6813872,0,13.80735699473927,195.5673828125,-72.83248138427734,-0.037810057401657104
6813873,0,13.807356996647748,195.5673828125,-72.83248138427734,-0.037810057401657104
6813874,0,13.80735699860302,195.5673828125,-72.83248138427734,-0.037810057401657104
6813875,0,13.807357000420867,195.5673828125,-72.83248138427734,-0.037810057401657104
6813876,0,13.807357002147864,195.5673828125,-72.83248138427734,-0.037810057401657104
6813877,0,13.807357003830614,195.5673828125,-72.83248138427734,-0.037810057401657104
6813878,0,13.807357005193792,195.5673828125,-72.83248138427734,-0.037810057401657104
6813879,0,13.807357006468248,195.5673828125,-72.83248138427734,-0.037810057401657104
6813880,0,13.807357006468248,195.5673828125,-72.83248138427734,-0.037810057401657104
6813881,0,13.807357008513325,195.5673828125,-72.83248138427734,-0.037810057401657104
6813882,0,13.807357008513325,195.5673828125,-72.83248138427734,-0.037810057401657104
6813883,0,13.80735701006115,195.5673828125,-72.83248138427734,-0.037810057401657104
6813884,0,13.80735701006115,195.5673828125,-72.83248138427734,-0.037810057401657104
6813885,0,13.80735701006115,195.5673828125,-72.83248138427734,-0.037810057401657104
6813886,0,13.807357011742358,195.5673828125,-72.83248138427734,-0.037810057401657104
6813887,0,13.807357011742358,195.5673828125,-72.83248138427734,-0.037810057401657104
