ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
6603117,0,501.09717255948897,198.76744079589844,-59.8326530456543,-499.8239440917969
6603118,0,13.812594499650915,195.56744384765625,-72.83265686035156,0.09999999403953552
6603119,0,13.81130886424041,195.56744384765625,-72.83265686035156,0.09540698677301407
6603120,0,13.810196788962182,195.56744384765625,-72.83265686035156,0.08469131588935852
6603121,0,13.809258186808002,195.56744384765625,-72.83265686035156,0.06785445660352707
6603122,0,13.808492962829495,195.56744384765625,-72.83265686035156,0.044897954910993576
6603123,0,13.807926602843253,195.56744384765625,-72.83257293701172,0.021351279690861702
6603124,0,13.807459131053298,195.56739807128906,-72.83253479003906,0.0024756239727139473
6603125,0,13.807302120581985,195.56735229492188,-72.8324966430664,-0.01238246913999319
6603126,0,13.807333445722405,195.5673370361328,-72.83248138427734,-0.023821182548999786
6603127,0,13.807402607046313,195.5673370361328,-72.83246612548828,-0.03239978849887848
6603128,0,13.807453827856348,195.5673370361328,-72.83245086669922,-0.03862537443637848
6603129,0,13.807437429439071,195.56732177734375,-72.83245086669922,-0.04294982925057411
6603130,0,13.807299341609536,195.56732177734375,-72.83244323730469,-0.04576675221323967
6603131,0,13.807205081001403,195.56732177734375,-72.83244323730469,-0.04741344228386879
6603132,0,13.80715716320067,195.56732177734375,-72.83244323730469,-0.04817352071404457
6603133,0,13.807120144940303,195.56732177734375,-72.83245086669922,-0.04828201234340668
6603134,0,13.807123901656801,195.5673370361328,-72.83245086669922,-0.047929953783750534
6603135,0,13.807130939265583,195.5673370361328,-72.83245086669922,-0.04726989567279816
6603136,0,13.807144185194526,195.5673370361328,-72.83245849609375,-0.04642120376229286
6603137,0,13.807174301442226,195.56735229492188,-72.83245849609375,-0.04547519609332085
6603138,0,13.807187159967144,195.56735229492188,-72.83246612548828,-0.04449958726763725
6603139,0,13.807216203784083,195.56735229492188,-72.83246612548828,-0.04354332014918327
6603140,0,13.80723140098122,195.56735229492188,-72.83246612548828,-0.04263957962393761
6603141,0,13.807243124220008,195.56735229492188,-72.83246612548828,-0.04180946201086044
6603142,0,13.807265701545388,195.5673828125,-72.83247375488281,-0.041064947843551636
6603143,0,13.807277763102267,195.5673828125,-72.83247375488281,-0.04041072726249695
6603144,0,13.807286315806218,195.5673828125,-72.83247375488281,-0.03984649479389191
6603145,0,13.807294516611345,195.5673828125,-72.83247375488281,-0.03936820849776268
6603146,0,13.807295254485286,195.5673828125,-72.83248138427734,-0.038969725370407104
6603147,0,13.80729981544068,195.5673828125,-72.83248138427734,-0.03864334151148796
6603148,0,13.807315277297967,195.5673828125,-72.83248138427734,-0.03838081285357475
6603149,0,13.807323255466866,195.5673828125,-72.83248138427734,-0.03817378729581833
6603150,0,13.807320210429433,195.5673828125,-72.83248138427734,-0.03801395371556282
6603151,0,13.80732807162096,195.5673828125,-72.83248138427734,-0.037893712520599365
6603152,0,13.807328459797219,195.5673828125,-72.83248138427734,-0.03780612722039223
6603153,0,13.807343642902689,195.5673828125,-72.83248138427734,-0.03774493932723999
6603154,0,13.80734394152671,195.5673828125,-72.83248138427734,-0.03770481050014496
6603155,0,13.807340660398076,195.5673828125,-72.83248138427734,-0.0376809686422348
6603156,0,13.8073408871623,195.5673828125,-72.83248138427734,-0.03766956180334091
6603157,0,13.807348504904338,195.5673828125,-72.83248138427734,-0.037667348980903625
6603158,0,13.80734867499241,195.5673828125,-72.83248138427734,-0.03767162188887596
6603159,0,13.807348821510196,195.5673828125,-72.83248138427734,-0.03768032044172287
6603160,0,13.8073489473552,195.5673828125,-72.83248138427734,-0.03769168630242348
6603161,0,13.807349054956626,195.5673828125,-72.83248138427734,-0.037704505026340485
6603162,0,13.807349146552685,195.5673828125,-72.83248138427734,-0.037717703729867935
6603163,0,13.807349224404875,195.5673828125,-72.83248138427734,-0.037730827927589417
6603164,0,13.80734923886682,195.5673828125,-72.83248138427734,-0.037743184715509415
6603165,0,13.807349293883256,195.5673828125,-72.83248138427734,-0.037754591554403305
6603166,0,13.807349325128046,195.5673828125,-72.83248138427734,-0.037764813750982285
6603167,0,13.807349357009922,195.5673828125,-72.83248138427734,-0.03777385503053665
6603168,0,13.807349387729454,195.5673828125,-72.83248138427734,-0.03778163716197014
6603169,0,13.807349416468563,195.5673828125,-72.83248138427734,-0.037788275629282
6603170,0,13.80734944258997,195.5673828125,-72.83248138427734,-0.037793807685375214
6603171,0,13.807349465895307,195.5673828125,-72.83248138427734,-0.037798307836055756
6603172,0,13.807349486334518,195.5673828125,-72.83248138427734,-0.037801969796419144
6603173,0,13.807349504075352,195.5673828125,-72.83248138427734,-0.03780486807227135
6603174,0,13.807349519207731,195.5673828125,-72.83248138427734,-0.03780708089470863
6603175,0,13.80734953212855,195.5673828125,-72.83248138427734,-0.037808798253536224
6603176,0,13.80734954297075,195.5673828125,-72.83248138427734,-0.037810057401657104
6603177,0,13.807349551003838,195.5673828125,-72.83248138427734,-0.037810057401657104
6603178,0,13.807349557858396,195.5673828125,-72.83248138427734,-0.037810057401657104
