ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
4007464,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
4007465,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
4007466,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
4007467,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
4007468,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
4007469,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
4007470,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
4007471,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
4007472,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
4007473,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
4007474,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
4007475,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
4007476,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
4007477,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
4007478,0,502.5098648260502,192.8539581298828,-44.17219543457031,-500.8373718261719
4007479,0,502.63473852255566,192.8539581298828,-44.17219543457031,-500.9580383300781
4007480,0,502.76686227094524,192.8539581298828,-44.17219543457031,-501.0848083496094
4007481,0,502.905526200154,192.8539581298828,-44.17219543457031,-501.2176513671875
4007482,0,503.0503096838882,192.8539581298828,-44.17219543457031,-501.3565979003906
4007483,0,503.2008982874174,192.8539581298828,-44.17219543457031,-501.5016174316406
4007484,0,503.35718351594915,192.8539581298828,-44.17219543457031,-501.65277099609375
4007485,0,503.51901660454223,192.8539581298828,-44.17219543457031,-501.80999755859375
4007486,0,503.6863637162203,192.8539581298828,-44.17219543457031,-501.9732971191406
4007487,0,503.85919708295825,192.8539581298828,-44.17219543457031,-502.14263916015625
4007488,0,504.0375995535867,192.8539581298828,-44.17219543457031,-502.3180847167969
4007489,0,504.22157978561785,192.8539581298828,-44.17219543457031,-502.4996032714844
4007490,0,504.4112113074109,192.8539581298828,-44.17219543457031,-502.6872253417969
4007491,0,504.60650896610946,192.8539581298828,-44.17219543457031,-502.88092041015625
4007492,0,504.8075182429852,192.8539581298828,-44.17219543457031,-503.0806884765625
4007493,0,505.01425319281043,192.8539581298828,-44.17219543457031,-503.2864990234375
4007494,0,505.2268132631991,192.8539581298828,-44.17219543457031,-503.4984130859375
4007495,0,505.4452352787762,192.8539581298828,-44.17219543457031,-503.7164306640625
4007496,0,505.6694602076675,192.8539581298828,-44.17219543457031,-503.9404602050781
4007497,0,505.89957790692364,192.8539581298828,-44.17219543457031,-504.1705627441406
4007498,0,506.1356720068774,192.8539581298828,-44.17219543457031,-504.40679931640625
4007499,0,506.37761380185026,192.8539581298828,-44.17219543457031,-504.6490173339844
4007500,0,506.6255421904867,192.8539581298828,-44.17219543457031,-504.8973388671875
4007501,0,506.8794131887075,192.8539581298828,-44.17219543457031,-505.1517028808594
4007502,0,507.13926934088494,192.8539581298828,-44.17219543457031,-505.4121398925781
4007503,0,507.40509221128156,192.8539581298828,-44.17219543457031,-505.6786193847656
4007504,0,507.6769217295533,192.8539581298828,-44.17219543457031,-505.951171875
4007505,0,507.9547671960496,192.8539581298828,-44.17219543457031,-506.22979736328125
4007506,0,508.2385719362009,192.8539581298828,-44.17219543457031,-506.5144348144531
4007507,0,508.5284035839065,192.8539581298828,-44.17219543457031,-506.8051452636719
4007508,0,508.82423658453615,192.8539581298828,-44.17219543457031,-507.1018981933594
4007509,0,509.1261051078442,192.8539581298828,-44.17219543457031,-507.40472412109375
4007510,0,509.433982081256,192.8539581298828,-44.17219543457031,-507.7135925292969
4007511,0,509.74783975169515,192.8539581298828,-44.17219543457031,-508.0284729003906
4007512,0,510.067728069308,192.8539581298828,-44.17219543457031,-508.3494567871094
4007513,0,510.3936142250107,192.8539581298828,-44.17219543457031,-508.6764221191406
4007514,0,510.72556547088,192.8539581298828,-44.17219543457031,-509.0094909667969
4007515,0,511.0635114006424,192.8539581298828,-44.17219543457031,-509.34857177734375
4007516,0,511.4074810994851,192.8539581298828,-44.17219543457031,-509.6936950683594
4007517,0,511.75744332155807,192.8539581298828,-44.17219543457031,-510.0448303222656
4007518,0,512.1134281439524,192.8539581298828,-44.17219543457031,-510.4020080566406
4007519,0,512.4754656825556,192.8539581298828,-44.17219543457031,-510.7652587890625
4007520,0,512.8434950765687,192.8539581298828,-44.17219543457031,-511.134521484375
4007521,0,513.2175164468181,192.8539581298828,-44.17219543457031,-511.5097961425781
4007522,0,513.5975602966786,192.8539581298828,-44.17219543457031,-511.89111328125
4007523,0,513.9835964087221,192.8539581298828,-44.17219543457031,-512.2784423828125
4007524,0,514.3757163047885,192.8539581298828,-44.17219543457031,-512.671875
4007525,0,514.7737984905904,192.8539581298828,-44.17219543457031,-513.0712890625
4007526,0,515.1778438281974,192.8539581298828,-44.17219543457031,-513.4766845703125
4007527,0,515.5879121081612,192.8539581298828,-44.17219543457031,-513.8881225585938
4007528,0,516.0040041179901,192.8539581298828,-44.17219543457031,-514.3056030273438
4007529,0,516.4260558505257,192.8539581298828,-44.17219543457031,-514.7290649414062
4007530,0,516.8541352254477,192.8539581298828,-44.17219543457031,-515.1585693359375
4007531,0,517.2882378888535,192.8539581298828,-44.17219543457031,-515.5941162109375
4007532,0,517.7282439794219,192.8539581298828,-44.17219543457031,-516.0355834960938
