ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
1795366,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
1795367,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
1795368,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
1795369,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
1795370,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
1795371,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
1795372,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
1795373,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
1795374,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
1795375,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
1795376,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
1795377,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
1795378,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
1795379,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
1795380,0,502.5098648483234,192.8539581298828,-44.17219543457031,-500.8373718261719
1795381,0,502.63473854482885,192.8539581298828,-44.17219543457031,-500.9580383300781
1795382,0,502.76686227094524,192.8539581298828,-44.17219543457031,-501.0848083496094
1795383,0,502.9055261630318,192.8539581298828,-44.17219543457031,-501.2176513671875
1795384,0,503.0503096838882,192.8539581298828,-44.17219543457031,-501.3565979003906
1795385,0,503.2008982874174,192.8539581298828,-44.17219543457031,-501.5016174316406
1795386,0,503.35718351594915,192.8539581298828,-44.17219543457031,-501.65277099609375
1795387,0,503.51901660454223,192.8539581298828,-44.17219543457031,-501.80999755859375
1795388,0,503.68636367909767,192.8539581298828,-44.17219543457031,-501.9732971191406
1795389,0,503.85919708295825,192.8539581298828,-44.17219543457031,-502.14263916015625
1795390,0,504.0375995164639,192.8539581298828,-44.17219543457031,-502.3180847167969
1795391,0,504.22157978561785,192.8539581298828,-44.17219543457031,-502.4996032714844
1795392,0,504.4112113074109,192.8539581298828,-44.17219543457031,-502.6872253417969
1795393,0,504.60650896610946,192.8539581298828,-44.17219543457031,-502.88092041015625
1795394,0,504.8075182429852,192.8539581298828,-44.17219543457031,-503.0806884765625
1795395,0,505.01425319281043,192.8539581298828,-44.17219543457031,-503.2864990234375
1795396,0,505.22681330217864,192.8539581298828,-44.17219543457031,-503.4984130859375
1795397,0,505.4452352397965,192.8539581298828,-44.17219543457031,-503.7164306640625
1795398,0,505.6694602076675,192.8539581298828,-44.17219543457031,-503.9404602050781
1795399,0,505.8995778679437,192.8539581298828,-44.17219543457031,-504.1705627441406
1795400,0,506.1356720068774,192.8539581298828,-44.17219543457031,-504.40679931640625
1795401,0,506.3776138779544,192.8539581298828,-44.17219543457031,-504.6490173339844
1795402,0,506.6255421904867,192.8539581298828,-44.17219543457031,-504.8973388671875
1795403,0,506.8794132258317,192.8539581298828,-44.17219543457031,-505.1517028808594
1795404,0,507.1392693798655,192.8539581298828,-44.17219543457031,-505.4121398925781
1795405,0,507.40509221128156,192.8539581298828,-44.17219543457031,-505.6786193847656
