ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
1440132,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
1440133,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
1440134,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
1440135,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
1440136,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
1440137,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
1440138,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
1440139,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
1440140,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
1440141,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
1440142,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
1440143,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
1440144,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
1440145,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
1440146,0,502.5098648260502,192.8539581298828,-44.17219543457031,-500.8373718261719
1440147,0,502.63473852255566,192.8539581298828,-44.17219543457031,-500.9580383300781
1440148,0,502.76686227094524,192.8539581298828,-44.17219543457031,-501.0848083496094
1440149,0,502.905526200154,192.8539581298828,-44.17219543457031,-501.2176513671875
1440150,0,503.0503096838882,192.8539581298828,-44.17219543457031,-501.3565979003906
1440151,0,503.2008982874174,192.8539581298828,-44.17219543457031,-501.5016174316406
1440152,0,503.35718351594915,192.8539581298828,-44.17219543457031,-501.65277099609375
1440153,0,503.51901660454223,192.8539581298828,-44.17219543457031,-501.80999755859375
1440154,0,503.6863637162203,192.8539581298828,-44.17219543457031,-501.9732971191406
1440155,0,503.859197120081,192.8539581298828,-44.17219543457031,-502.14263916015625
1440156,0,504.0375995907095,192.8539581298828,-44.17219543457031,-502.3180847167969
1440157,0,504.22157978561785,192.8539581298828,-44.17219543457031,-502.4996032714844
1440158,0,504.4112113074109,192.8539581298828,-44.17219543457031,-502.6872253417969
1440159,0,504.60650896610946,192.8539581298828,-44.17219543457031,-502.88092041015625
1440160,0,504.80751820586204,192.8539581298828,-44.17219543457031,-503.0806884765625
1440161,0,505.01425315383096,192.8539581298828,-44.17219543457031,-503.2864990234375
1440162,0,505.2268132631991,192.8539581298828,-44.17219543457031,-503.4984130859375
1440163,0,505.4452352787762,192.8539581298828,-44.17219543457031,-503.7164306640625
1440164,0,505.6694602076675,192.8539581298828,-44.17219543457031,-503.9404602050781
1440165,0,505.8995778679437,192.8539581298828,-44.17219543457031,-504.1705627441406
1440166,0,506.1356720068774,192.8539581298828,-44.17219543457031,-504.40679931640625
1440167,0,506.3776138779544,192.8539581298828,-44.17219543457031,-504.6490173339844
1440168,0,506.6255421904867,192.8539581298828,-44.17219543457031,-504.8973388671875
1440169,0,506.8794132258317,192.8539581298828,-44.17219543457031,-505.1517028808594
1440170,0,507.1392693798655,192.8539581298828,-44.17219543457031,-505.4121398925781
1440171,0,507.40509221128156,192.8539581298828,-44.17219543457031,-505.6786193847656
1440172,0,507.67692176667794,192.8539581298828,-44.17219543457031,-505.951171875
1440173,0,507.9547671960496,192.8539581298828,-44.17219543457031,-506.22979736328125
1440174,0,508.23857189907596,192.8539581298828,-44.17219543457031,-506.5144348144531
1440175,0,508.5284035467814,192.8539581298828,-44.17219543457031,-506.8051452636719
1440176,0,508.82423654555464,192.8539581298828,-44.17219543457031,-507.1018981933594
1440177,0,509.1261051078442,192.8539581298828,-44.17219543457031,-507.40472412109375
1440178,0,509.433982081256,192.8539581298828,-44.17219543457031,-507.7135925292969
1440179,0,509.74783975169515,192.8539581298828,-44.17219543457031,-508.0284729003906
1440180,0,510.067728069308,192.8539581298828,-44.17219543457031,-508.3494567871094
